,uuid,center_x,center_y,center_z,direction_x,direction_y,direction_z,end_closed,end_reachable,facet_count,length,radius
33,f0818dc9-9743-4b9f-a223-aad0e36cc4d9,124.8799983573,196.8849961457,-15.2219274044,0.0,0.0,1.0,True,True,0,15.0000004768,3.0000007439
34,6c2c2fbd-9bd1-4612-8681-36f2a7052cc8,4.607937791e-24,17.0100002289,-4.607937771e-24,0.0,-1.0,0.0,True,True,220,30.0200004578,8.75
35,c4475905-c54e-4fc6-bcb2-23c99b8ca5bb,2.999995357,52.499995331,6.75,0.0,0.0,-1.0,True,True,200,1.5,2.2500007604
35,c4475905-c54e-4fc6-bcb2-23c99b8ca5bb,2.999995357,29.5000046093,6.75,0.0,0.0,-1.0,True,True,200,1.5,2.2500007604
35,c4475905-c54e-4fc6-bcb2-23c99b8ca5bb,32.9999953381,52.499995331,6.75,0.0,0.0,-1.0,True,True,200,1.5,2.2500007604
35,c4475905-c54e-4fc6-bcb2-23c99b8ca5bb,32.9999953381,29.5000046093,6.75,0.0,0.0,-1.0,True,True,200,1.5,2.2500007604
36,b9f325e5-73b2-4e14-be8c-40dda7e423bb,232.0000021886,-1.149e-06,13.0,-1.960619433e-18,5.731399865e-17,1.0,True,False,0,16.0,19.5024130581
37,11973cdb-5584-4e05-b211-4d64872e0943,1.438e-07,-2e-10,7.5,0.0,0.0,1.0,True,True,0,13.0,7.0000000911
37,11973cdb-5584-4e05-b211-4d64872e0943,2.312e-07,-3e-10,0.5,0.0,0.0,1.0,True,True,0,1.0,8.7499999744
38,183777e3-3bc1-4881-ac3e-94c4ff36af39,2.174194336e-24,-52.7999992371,-2.174194354e-24,0.0,-1.0,0.0,True,True,188,10.0,8.5
38,183777e3-3bc1-4881-ac3e-94c4ff36af39,2.437505074e-24,-41.1499996185,-2.437505063e-24,0.0,-1.0,0.0,True,True,188,13.2999992371,9.0
